f UK w_hedge, f UK r_hedge, f CAN w_hedge, f CAN r_hedge, f EU w_hedge, f EU r_hedge, f swi w_hedge, f swi r_hedge
0.070747, 0.083605, -0.026751, 0.102898, -0.017858, 0.101719, -0.004071, 0.098550
0.058750, -0.039896, -0.026982, -0.020074, -0.017967, -0.021110, -0.003973, -0.024574
0.071201, -0.043362, -0.024944, -0.020352, -0.017288, -0.019832, -0.003968, -0.023623
0.063285, -0.034237, -0.025353, -0.014516, -0.017583, -0.013973, -0.003968, -0.017518
0.055628, -0.083592, -0.025643, -0.053823, -0.017845, -0.054272, -0.003961, -0.060267
0.051969, -0.109573, -0.027747, -0.081412, -0.019067, -0.078737, -0.004094, -0.086334
0.031773, 0.025450, -0.029215, 0.044917, -0.019698, 0.049397, -0.004065, 0.041486
0.005838, 0.027115, -0.029222, 0.033945, -0.020101, 0.039295, -0.003898, 0.029999
0.014195, 0.009655, -0.030449, 0.019884, -0.019529, 0.025969, -0.003890, 0.016611
0.016552, -0.043978, -0.025540, -0.032958, -0.017783, -0.027188, -0.003680, -0.035530
0.018894, 0.004762, -0.030445, 0.019347, -0.018160, 0.023701, -0.003800, 0.014341
0.010579, 0.020929, -0.032817, 0.033838, -0.018590, 0.035586, -0.003772, 0.025797
0.011859, -0.034449, -0.034054, -0.018430, -0.018256, -0.019271, -0.003761, -0.030341
0.015502, -0.027924, -0.042162, -0.006422, -0.018643, -0.010214, -0.003955, -0.021612
0.009479, -0.063208, -0.044144, -0.043025, -0.018439, -0.049686, -0.003764, -0.063290
0.003953, -0.102415, -0.037081, -0.085964, -0.017147, -0.092094, -0.003358, -0.105683
-0.005202, 0.030265, -0.036626, 0.040703, -0.016949, 0.035248, -0.002851, 0.022714
-0.018847, -0.073450, -0.044979, -0.066171, -0.017665, -0.075424, -0.002022, -0.087575
-0.011841, 0.066202, -0.062500, 0.089835, -0.019556, 0.069548, -0.002798, 0.055491
-0.022942, 0.058322, -0.068667, 0.078348, -0.020092, 0.054061, -0.002125, 0.039912
-0.012698, -0.037822, -0.065145, -0.011422, -0.019994, -0.035431, -0.002692, -0.049701
-0.007584, -0.016360, -0.047646, 0.006199, -0.018635, -0.011726, -0.002769, -0.024887
-0.012433, -0.018247, -0.051938, 0.004672, -0.019458, -0.016476, -0.002560, -0.037393
-0.014883, 0.017913, -0.048869, 0.039623, -0.019287, 0.018494, -0.002185, -0.002027
-0.018872, 0.092515, -0.045224, 0.108194, -0.018222, 0.088622, -0.001155, 0.074941
-0.018501, 0.077940, -0.036510, 0.088884, -0.017032, 0.073377, -0.000812, 0.062338
-0.011246, 0.019960, -0.019468, 0.024745, -0.015289, 0.019689, -0.001809, 0.004745
-0.004898, 0.011855, -0.008041, 0.013459, -0.014361, 0.015464, -0.002515, -0.002655
-0.004351, 0.039162, -0.005106, 0.039138, -0.013546, 0.042799, -0.002419, 0.019198
-0.003463, 0.023633, -0.003631, 0.023361, -0.013528, 0.027692, -0.002456, 0.002537
0.003332, 0.040135, 0.001059, 0.041922, -0.016086, 0.050772, -0.004075, 0.023424
0.004234, 0.020619, 0.003282, 0.021820, -0.015255, 0.031668, -0.003885, 0.007056
0.005367, 0.045704, 0.009018, 0.044625, -0.012245, 0.056058, -0.003694, 0.031002
0.005703, 0.015368, 0.010846, 0.013662, -0.007686, 0.023198, -0.003424, 0.005667
0.007968, 0.019771, 0.014427, 0.018284, -0.004884, 0.028045, -0.003505, 0.008438
0.008594, -0.015403, 0.015270, -0.016230, -0.003752, -0.007171, -0.003479, -0.025145
0.009875, -0.030322, 0.016438, -0.030675, -0.004050, -0.020640, -0.003836, -0.043019
